"full_name","origin"
"jianguo deng","China"
"keith merrell","AngloSaxon"
"nitin kamalakar tambe","India"
"karl linford","AngloSaxon"
"lee helms","AngloSaxon"
"gianluca meloro","Italian"
"mickael dall orso","French"
"nikki robinson","AngloSaxon"
"anne talneau","French"
"gary paul chambers","AngloSaxon"
"ricardo capllonch","Hispanic"
"masaaki katsuro","Japan"
"hans dieter thieme","German"
"margaret britt","AngloSaxon"
"abilio ribeiro borges","Hispanic"
" nandy","India"
"carlos rego","Hispanic"
"lucien romani","French"
" more","India"
"vittorio vicentini","Italian"
"dominic hill","AngloSaxon"
"mark edward erickson","AngloSaxon"
"truls persson","Scandinavian"
"staffan liindberg","Scandinavian"
"jong pil choi","Korea"
"jin lou liu","China"
"esben hansen halkjaer","Scandinavian"
"samarth sarthi","India"
"mislav orsulic","Balkans"
"staffan johansson","Scandinavian"
"yingyu hong","China"
"francisco riera berenguer","Hispanic"
"francisco martin molina","Hispanic"
"rade catovic","Balkans"
"alfonso iniguez","Hispanic"
"jeffrey willey","AngloSaxon"
"benot marsaud","French"
"bradley mc cafferty","AngloSaxon"
"ali beyzavi","Persian"
"yosuke omron corporation iwai","Japan"
"krishna maheshwari","India"
"arsen gurgenovitch balaev","Slavic"
"marcin panek","EastEurope"
"won sik chu","Korea"
"max kolar","German"
"stian rossa","Scandinavian"
"fiorenzo ventrella","Italian"
"lawrence gensch","German"
"kim birkebaek jensen","Scandinavian"
"duk won seo","SouthEastAsia"
"john robert cumbers","AngloSaxon"
"enrico corsi","Italian"
"yukio kato","Japan"
"regis duplessy","French"
"benoit auclair","French"
"marc marshall","AngloSaxon"
"jeffrey george","AngloSaxon"
"aaserud jostein","Scandinavian"
"guy hembury","AngloSaxon"
"richard maccoon","AngloSaxon"
"gabriella bisci","Italian"
"padmaja nalluri","India"
"eric gascoin","French"
"kishor ashanand ruparel","India"
"yaqin yan","China"
"matthew homola","AngloSaxon"
"tomohiro ishikawa","Japan"
"lenard john stephan jayakumar","India"
"pablo cerro salido","Hispanic"
"michael scarpulla","German"
"nicolo luigi gavotti","Italian"
"tooru sasaki","Japan"
"pierre barre","French"
"pezaan patrawala","India"
"chung hee park","Korea"
"gino tani","Italian"
"philip theriault","AngloSaxon"
"jarkko ruokojrvi","Scandinavian"
"wilhelm winter","German"
"alessandro terzariol","Italian"
"sergio barcelos","Hispanic"
"beln pancorbo marcos","Hispanic"
"ivan kelava","Balkans"
"shruti rakheja","India"
"guy deltombe","French"
"jaime quiros","Hispanic"
"hyeon sub hwang","Korea"
"qiuming zheng","China"
"gunnar grue  slashed rensen","German"
"elemer fogassy","EastEurope"
"lamont cannon","AngloSaxon"
"bernt ake sultan","Scandinavian"
"earle sherman","AngloSaxon"
"anubhuti kaushik","India"
"william henry yost","AngloSaxon"
"stephane furlan","French"
"byron graham jr","Philippines"
"hemant kakkad","India"
"peter foslund nielsen","Scandinavian"
"dong hyuk jeong","Korea"
"winston moore","AngloSaxon"
"dietmar pfiel","German"
"harald kraus","German"
"alain godard","French"
"elio lazzaroni","Italian"
"arne bender","German"
"shinsuke osaka works of okumi","Japan"
"stuart card","AngloSaxon"
"tuomo huopana","Scandinavian"
"michael herm","German"
"hrissi samartzidou","Greek"
"changdev raut","India"
"fabrizio bonaccorsi","Italian"
"nicholas willmann","German"
"seiken nakasone","Hispanic"
"maria josefina poupin","French"
"andre klein","German"
"flemming forsberg","Scandinavian"
"mikio kan","China"
"andreas irmer","German"
"jesus garcia sevilla","Hispanic"
"anatolii grigorovich boiko","Slavic"
"romano kroemer","German"
"ravish sharma","India"
"chaoyu hu","China"
"guofang sun","China"
"francisco german perez venegas","Hispanic"
"soheil hamedani","Persian"
"ruggero mattiello","Italian"
"vincenzo di leo","Italian"
"jose antonio aranda garcia","Hispanic"
"charles edgar stephens","AngloSaxon"
"michael eugene landis","AngloSaxon"
"david joseph jaworski","AngloSaxon"
"kaustuv saha","India"
"yoshihiko konishi","Japan"
"john clinton vanderkolk","AngloSaxon"
"sujoy khanra","India"
"luiz ribeiro oliveira nascimento da costa","Hispanic"
"kyle booth","AngloSaxon"
"franco barilli","Italian"
"paolo lucarno","Italian"
"hartmut kronschnabel","German"
"edward beckwith","AngloSaxon"
"rory groonwald","AngloSaxon"
"ildik horvth","EastEurope"
"alexander hobbs","AngloSaxon"
"travis little","AngloSaxon"
"francesc mestre pons","Hispanic"
"john wyant","AngloSaxon"
"andre girou","French"
"scott alan clary","AngloSaxon"
"antonio martinezferez","Hispanic"
"yves laurent allaert","French"
"andre coutard","French"
"ivar hansen","Scandinavian"
"ki jun medical college kim","Korea"
"tania bhatia","India"
"shanfu huawei technologies co ltd li","China"
"christine dhersin","French"
"brian richard bear","AngloSaxon"
"javier lopez de alda madorran","Hispanic"
"marco camozzi","Italian"
"ernesto croquevielle","Hispanic"
"mi jung park","Korea"
"sadashiv mandrekar","India"
"massaro fabio","Italian"
"monica ortiz seidel","German"
"jean francois briand","French"
"grant emmel","AngloSaxon"
"shigeyuki kobayashi","Japan"
"nicolas leduc","French"
"tohru yamase","Japan"
"edwin sugg","AngloSaxon"
"motoaki oe","Japan"
"suriyaprakash mayavan","India"
"young whan yu","Korea"
"yasuharu kudo","Japan"
"anja knueppel","German"
"jose ruben tornero montano","Hispanic"
"jorge sancho ponce","Hispanic"
"xiao dao wu","China"
"oscie whatley","AngloSaxon"
"per moe","Scandinavian"
"addy rosa montes de oca gonzalez","Hispanic"
"massimo merlin","Italian"
"jon bengston","AngloSaxon"
"pushker hindustan lever res centre flats sona","India"
"andrea gatti","Italian"
"ramakrishna venigalla","India"
"weng kin chen","China"
"arjona corbera","Hispanic"
"jonas garding","German"
"allan george van de wall","AngloSaxon"
"xianran peng","China"
"xavier grall","French"
"cebrian parra","Hispanic"
"bruno aguiar","Hispanic"
"dominik michael frei","German"
"shen yu","China"
"rui miguel pinheiro vitorino","Hispanic"
"rolf bosshart","German"
"bruce beckius","AngloSaxon"
"otoniel florez","Hispanic"
"hans hutegger","German"
"robert harry armstrong","AngloSaxon"
"franz hochlehnert","German"
"brian gallup","AngloSaxon"
"sanjay dheshmukh","India"
"amol pattekar","India"
"gennady voronin","Slavic"
"kee cheon song","China"
"myoung won lee","Korea"
"soo bong kim","Korea"
"harry marr","AngloSaxon"
"johan kajanus","Scandinavian"
"german cabanillas gonzalez","Hispanic"
"suresh kumar chintaba","India"
"matthieu flin","French"
"yury ivanovich malov","Slavic"
"ayush patwari","India"
"jerzy kotarba","EastEurope"
"thierry cresson","French"
"gilles serge bianrosa","French"
"pedro manuel dos santos nascimento","Hispanic"
"hoe go kim","SouthEastAsia"
"soeren nyckelg rd","German"
"overscore igo braceras izaguirre","Hispanic"
"hallgrim strand","Scandinavian"
"tae young kang","Korea"
"dierk warburg","German"
"jose onandia","Hispanic"
"bob day","AngloSaxon"
"vikas rao","India"
"jerome decoodt","French"
"giorgio rocca","Italian"
"eiju ono","SouthEastAsia"
"remi bonnefoi","French"
"louis gomes","Hispanic"
"charles beeson","AngloSaxon"
"xiongce liu","China"
"harald rudelgass","German"
"roland hoefs","German"
"patti ogles","AngloSaxon"
"richard cresse","AngloSaxon"
"zhi gang zou","China"
"klaus decker","German"
"ricardo nolasco de carvalho","Hispanic"
"aleksandr yurkovetskiy","Slavic"
"moon sig kang","Korea"
"daniele ziliotto","Italian"
"varun poddar","India"
"baichao yu","Korea"
"jung mi kim","Korea"
"angela schneider","German"
"javier duran","Hispanic"
"robert bunzl","AngloSaxon"
"marcelo roncoletta","Hispanic"
"soren hvolgaard kruuse","Scandinavian"
"yoshikatsu fujii","Japan"
"dong geun ha","SouthEastAsia"
"menglong tan","China"
"paul mariaantonius slaats","AngloSaxon"
"stephane jourdan","French"
"duke johnston","AngloSaxon"
"chris blanc","French"
"piero cotrozzi","Italian"
"rosa sagredo exposito","Hispanic"
"eduardo  seat pena blesa","Hispanic"
"patricio andrs salas prez","Hispanic"
"heinz lechner","German"
"jang ho yoon","Korea"
"huili wu","China"
"david scott thomas","AngloSaxon"
"hai fang ma","SouthEastAsia"
"wanghua tu","SouthEastAsia"
"joo seong jeon","Korea"
"bruce liu","China"
"rosanna del gaudio","Italian"
"sudhir malhotra","India"
"rosemary morrow","AngloSaxon"
"norbert macht","German"
"henning vieregge","German"
"ramon bragos","Hispanic"
"ulrich uphues","German"
"kuriakose george kulangare","India"
"giorgo quaranta","Italian"
"anne laurence piquet","French"
"joo manuel coelho dos santos varela","Hispanic"
"mario bitter","German"
"janet hur","AngloSaxon"
"kimberly gray","AngloSaxon"
"piero benedetto","Italian"
"giuseppe paris","Italian"
"david roger gay","AngloSaxon"
"christelle porcherot lassallette","French"
"seonwook park","Korea"
"virginia rivero buceta","Hispanic"
"olga onuki esteban","Hispanic"
"byoung yue   jugong greenvill apt kim","Korea"
"kuzuo sugazaki","Japan"
"ryan webster hunt","AngloSaxon"
"morten mern","Scandinavian"
"peter francis moylan","AngloSaxon"
"jens stamp lambaek","German"
"sayatan choudhury","India"
"mohammad jamnia","Persian"
"ma empar chenoll cuadros","Hispanic"
"jie zuo","China"
"youngbin cho","Korea"
"peter wolohan","AngloSaxon"
"irene theodor spitsberg","AngloSaxon"
"paul swaney","AngloSaxon"
"youngcheol chae","Korea"
"angelo chianese","Italian"
"bruno augusto batista ribeiro","Hispanic"
"zoltan varga","EastEurope"
"alejandro padros fradera","Hispanic"
"davide bonsi","Italian"
"andrzej gajewski","EastEurope"
"james begley","AngloSaxon"
"karen kapoor","AngloSaxon"
"pascale mariani","French"
"janet lai","China"
"pearl edwards","AngloSaxon"
"lothar blum","German"
"eckhard de cleur","German"
"lamar ledbetter","AngloSaxon"
"aarti subhash shedge","India"
"jeri sampson","AngloSaxon"
"satoru stephen yamauchi","Japan"
"srinath malur srinivasa","India"
"franco agnoli","Italian"
"joan pujal laborda","Hispanic"
"francisco ezquerro juanco","Hispanic"
"scott northrup","AngloSaxon"
"jose lopez luz","Hispanic"
"masafumi ozawa","Japan"
"masaaki nagai","Japan"
"david eyler","AngloSaxon"
"sang yeon kim","Korea"
"hyucksang yim","China"
"shenghong lu","China"
"richard bienia","AngloSaxon"
"youngsun chun","Korea"
"georges roux","French"
"alexander matthis","German"
"lin simpson","AngloSaxon"
"hidetomo yoneda","Japan"
"jeffrey myatt","AngloSaxon"
"bruno dos santos pereira","Hispanic"
"michael quick","AngloSaxon"
"alexandr ivanovich serebryakov","Slavic"
"seiichi tashiro","Japan"
"nobuaki gamo","Japan"
"jean francois combes","French"
"mauro dimitri","Italian"
"ronald brammer","AngloSaxon"
"vikram kumar singh","India"
"ma luisa marina alegre","Hispanic"
"dajun ma","China"
"xiudong liu","China"
"arnaldo castellucci","Hispanic"
"ulrich haerer","German"
"hongpeng yu","Korea"
"charles browder","AngloSaxon"
"fiammetta fedele","Italian"
"maria filomena padron miozzo","Hispanic"
"jean marie bossu","French"
"satheesha vittal","India"
"danilo ceschin","Hispanic"
"antonio carlos menezes ramos","Hispanic"
"homero casteneda lopez","Hispanic"
"martin kruck","German"
"chintan kanuga","India"
"thales lima embrapa recursos geneticos biotecnologia rocha","Hispanic"
"evelyn pardo","Hispanic"
"paolo elmi","Italian"
"sivaraj velusamy","India"
"siegfried schroecker","German"
"boris djurovic","Balkans"
"vladimir anatol yevich lapshin","Slavic"
"michael alan cook","AngloSaxon"
"serge belmont","French"
"annemarie mulks","AngloSaxon"
"vicki raeburn","AngloSaxon"
"warren lehan","AngloSaxon"
"ahmed shareef","Africa"
" pizzorno","Italian"
"michael reader","AngloSaxon"
"amit madanlal katariya","India"
"pascal lecland","French"
"lee martin greenberger","AngloSaxon"
"alexey miroshkin","Slavic"
"josep vila","Hispanic"
"joao carlos ramos damil","Hispanic"
"ravi shankar bojja","India"
"sigurdur thorsteinsson","Scandinavian"
"lorena rey martinez","Hispanic"
"vaclav sasek","EastEurope"
"paolo perotti","Italian"
"detlef brader","German"
"emanuele burzi","Italian"
"esben meldgaard hogh quistgaard","Scandinavian"
"mikael thoren","Scandinavian"
"dodaghatta krishnarao venkata rao","India"
"mario amo","Hispanic"
"guillermo ibanez fernandez","Hispanic"
"janne laakso","Scandinavian"
"giorgio bergamo","Italian"
"maria eugenia averroes no saez","Hispanic"
"francisco goncalves","Hispanic"
"sergio gomez ortiz","Hispanic"
"chris winsor","AngloSaxon"
"concepcion perez martin","Hispanic"
"bailin hu","China"
"filipe manuel marques mota","Hispanic"
"mike heinonen","Scandinavian"
"ki bong ju","Korea"
"guenther grundig   max grundig schmotzer","German"
"gianluca giovannini","Italian"
"helmut spoetter","German"
"claudio bano","Hispanic"
"yannick gache","French"
"alejandro puentes","Hispanic"
"vyacheslav gennadievich shamshurin","Slavic"
"alain gerbert gaillard","French"
"paolo giuseppe baldi","Italian"
"cristina paradisi","Italian"
"ulrich boenick","German"
"eric bernhart","German"
"sathyanarayan srinivas meda","India"
"valery dmitrievich rusanov","Slavic"
"jeronimo carnes sanchez","Hispanic"
"caty dejesus","Hispanic"
"john vukich","AngloSaxon"
"lamya daoudi","French"
"tianzhen huang","China"
"violeta perez nueno","Hispanic"
"pascal raymond allain","French"
"esa tuovinen","Scandinavian"
"soon bum lee","China"
"pablo jos fuertes cameno","Hispanic"
"edward ballard","AngloSaxon"
"cristian marius ilac","Hispanic"
"juan pascual barrachina","Hispanic"
"rajalakshmi iyer","India"
"vicente gomes ubero","Hispanic"
"hee joon jin","Korea"
"andreas selig","German"
"takeshi susuki","Japan"
"guenter luebeck","German"
"chih ho","China"
"luiz pianowski","Hispanic"
"monica sabater vilar","Hispanic"
"tie tang","China"
"william mcginley hill","AngloSaxon"
"sujata das","India"
"sandra dickson","AngloSaxon"
"ian david roberts","AngloSaxon"
"liu ge","China"
"antonio fontanellas roma","Hispanic"
"joao paulo abdala","Hispanic"
"jordi palacin roca","Hispanic"
"ashish tripathi","India"
"hyeon jin kim","Korea"
"james suchoski","AngloSaxon"
"petr janda","EastEurope"
"gregory alan bell","AngloSaxon"
"tongtong xue","China"
"holger findling","German"
"pasi pylvas","Scandinavian"
"asha telkar","India"
"sergey goreinov","Slavic"
"ki suk kweon","Korea"
"thomas john klos","German"
"franz josef pfreundt","German"
"joseph thomas jr","Africa"
"jean pierre gelis","French"
"lee tavrow","AngloSaxon"
"suliman al basheir","Africa"
"jonathan fryer","AngloSaxon"
"hiroyoshi taishi shataku  asada","Japan"
"craig rich","AngloSaxon"
"bukkinakere kapanipathaiya chandrasekhar","India"
"paulina ljungberg","Scandinavian"
"charles robert morgan","AngloSaxon"
"ted alexander mckay","AngloSaxon"
"alan sefton","AngloSaxon"
"chiu ying tai","China"
"xiuli chang","China"
"eduard sisquella vila","Hispanic"
"seishia imai","Japan"
"fredrick sutton","AngloSaxon"
"kurt nicolaisen","Scandinavian"
"mitsuru sony corporation takehara","Japan"
"emanuele cigni","Italian"
"ricardo de oliveira souza","Hispanic"
"changjian dai","China"
"mette moller andersen","Scandinavian"
"thomas von der gruen","German"
"francois garet","French"
"takeshi  sony corporation nakajima","Japan"
"jean verducci","French"
"dilip konwar","India"
"massimiliano tinto","Italian"
"oswaldo godoy neto","Hispanic"
"silvio magliano","Hispanic"
"virendra kumar rai","India"
"eldon crump","AngloSaxon"
"dan castoro","Italian"
"ferenc david balazs","EastEurope"
"steven halzel","AngloSaxon"
"oren livne","Jewish"
"surendra vishnoi","India"
"loretta mangram dupree","AngloSaxon"
"govindaraju thimmaiah","India"
"juan manuel fernndez galmes","Hispanic"
"alexander hausmann","German"
"yong hyeon yoo","Korea"
"german acuna","Hispanic"
"santiswarup singha","India"
"preeti lodha","India"
"mauro marchetti","Italian"
"nick bezuidenhout","AngloSaxon"
"byung woo yoon","Korea"
"yvonne nelson","AngloSaxon"
"franck lacal","French"
"gerrit luebbe","German"
"sigurd vitols","Scandinavian"
"valerij dmitrievich pochukaev","German"
"james ladd","AngloSaxon"
"sebastien georges","French"
"zongyu feng","China"
"maria fe lagunas heras","Hispanic"
"haibing deng","China"
"hae won ryou","Korea"
"yurii sidelnikov","Slavic"
"katalin polgar","EastEurope"
"zhi cong huang","China"
"guy schory","AngloSaxon"
"daryl furlong","AngloSaxon"
"stephen mosher","AngloSaxon"
"ganesh pejavar narayana rao","India"
"alejandro kayum jimenez","Hispanic"
"michaela hoerstemeier","German"
"helmut goldmann","German"
"laszlo kezi","AngloSaxon"
"salvatore terrazzino","Italian"
"pierre favrin","French"
"giancarlo camerlenghi","Italian"
"donald reichel","German"
"jose gras soler","Hispanic"
"wan suk lg institute seo","Korea"
"kishore bhonsle","India"
"giancarlo franchini","Italian"
"georges fouad el haddad","French"
"vladimir nikolaevich belyakov","Slavic"
"ichiro shiota","Japan"
"david karas","AngloSaxon"
"robert kingsbury","AngloSaxon"
"wenchao fan","China"
"aleksey grigor evich sergeev","Slavic"
"steve pebley","AngloSaxon"
"youri pavlovich frolov","Slavic"
"wolfram ing kocznar","German"
"isaac traylor","AngloSaxon"
"lucy ines olivan","Hispanic"
"waclaw baranski","EastEurope"
"jin kyung cha","Korea"
"ji woong gong","Korea"
"claudia ortmann","German"
"willi gerig","German"
"sarada annapurna gandikota","India"
"hyokang chang","China"
"john martyn","AngloSaxon"
"julian agut","Hispanic"
"jong yeon hwang","Korea"
"jin su shin","Korea"
"nathalie chaput","French"
"fabrizio cresti","Italian"
"amritpal mundra","India"
"mark levenstein","AngloSaxon"
"adam czopek","AngloSaxon"
"vikram bansal","India"
"maria beatrice gorini","Hispanic"
"terence sammon","AngloSaxon"
"vladimir vyacheslavovich smirnov","Slavic"
"mario zanotto","Hispanic"
"erwan le merrer","French"
"tong ho kang","China"
"sapna hasit parikh","India"
"tam bui","SouthEastAsia"
"borja rodriguez cabo","Hispanic"
"wolfgang golderer","German"
"robert clanrye mcgraffin","AngloSaxon"
"sakai akiyama","Japan"
"alan griffiths gordon","AngloSaxon"
"jeffrey bruce","AngloSaxon"
"huimin liang","China"
"natarajan chennimalai kumar","India"
"youneng bao","SouthEastAsia"
"keman yu","Korea"
"howard niemuth","AngloSaxon"
"mogens engelstoft","Scandinavian"
"huafeng lin","China"
"niranjan ramesh pedanekar","India"
"shasha li","China"
"margaret shalicky","AngloSaxon"
"thangavelu chinnamuthu","India"
"sung yeol jin","Korea"
"hoang vu","SouthEastAsia"
"ajay nandgaonkar","India"
"montserrat daban","Hispanic"
"jeffrey wooster","AngloSaxon"
"jose manuel blasco buch","Hispanic"
"robert hamilton baker","AngloSaxon"
"robert james suhling","AngloSaxon"
"rafael martinez fernandez","Hispanic"
"wolfgang christian poller","German"
"josef markgraf","German"
"daniel frasca","Italian"
"mario de sousa almeida","Hispanic"
"paul stephen danielson","AngloSaxon"
"johnston peeples","AngloSaxon"
"won jong song","Korea"
"donato alexandre gomes aranda","Hispanic"
"rohit clouhan","India"
"william edward huff","AngloSaxon"
"alphee desrochers","French"
"stefano saccardi","Italian"
"milton egas diniz","Hispanic"
"amy harris","AngloSaxon"
"ulrik solberg rasmusen","Scandinavian"
"niels kofoed","Scandinavian"
"jeff lawson","AngloSaxon"
"thomas kintzing hunt","AngloSaxon"
"gustavo portilla","Hispanic"
"antonio amico","Italian"
"yuling fang","China"
"teresa elias chacur de miranda","Hispanic"
"ole martin lovvik","Scandinavian"
"marie christine bene","French"
"kumar sidhartha","India"
"youngmi bahn","German"
"gurvinderjit singh walia","India"
"mark williams lumsden","AngloSaxon"
"yongtao wang","China"
"james sadeck","AngloSaxon"
"srirama raju pinnamraju","India"
"jonny lavorato","Hispanic"
" nebel roehrig","German"
"stephane philippe","French"
"jury mamontov","Slavic"
"david michael charneski","AngloSaxon"
"andrew bodley","AngloSaxon"
"jong ren lee","Korea"
"jacques bori","French"
"gary yewdall","AngloSaxon"
"erkki suvanto","Scandinavian"
"ezequiel giro amigo","Hispanic"
"juan parrado rubio","Hispanic"
"susan finlay","AngloSaxon"
"john sherrill carpenter","AngloSaxon"
"christopher colby","AngloSaxon"
"luca di carlo","Italian"
"takashi denso corporation tominaga","Hispanic"
"michelangelo foglia","Italian"
"morten carstensen","Scandinavian"
"russell brett roberts","AngloSaxon"
"siddarth wardhan","India"
"jong ii cho","Korea"
"jianguo xie","China"
"katherine robertson","AngloSaxon"
"gene levinson","AngloSaxon"
"xianlong wang","China"
"shigeharu ikeda","Japan"
"angel julian rueda alba","Hispanic"
"dongmei shen","China"
"michael kalamaras","Greek"
"marco tulio nossa reyes","Hispanic"
"torben friis","Scandinavian"
"zin min park","Korea"
"miguel maria imaz odriozola","Hispanic"
"junichiro central research laboratories murayama","Japan"
"laurence mamy","French"
"shalini agarwal","India"
"timo hotti","German"
"masato take","Japan"
"salvador gil cano","Hispanic"
"evgeny veniaminovich starikov","Slavic"
"maurice laguette","French"
"jrgen moosmann","German"
"bernard aversenq","French"
"mike mckanna","AngloSaxon"
"kesley oliveira","Hispanic"
"olivier le traon","French"
"jordi colomer farrarons","Hispanic"
"konstantin koch","German"
"john wesley durkee","AngloSaxon"
"michel gorlier","French"
"haijian zeng","China"
"cecile saquet gouville","French"
"ralf jaeger","German"
"josep ma lloreda pina","Hispanic"
"aditya sarwade","India"
"joerg backes","German"
"marta diaz","Hispanic"
"josef harlander","German"
"francesca venerucci","Italian"
"byung hoon park","Korea"
"afshin babveyh","Persian"
"michel tacconi","French"
"mirjana gelo","Balkans"
"solm kwon","Korea"
"german bellver guill","Hispanic"
"roberta gaziano","Italian"
"oleg antonenko","Slavic"
"kalman nagy","EastEurope"
"tsukasa kobayashi","Japan"
"ludger styra","German"
"nikolay artemyev","Slavic"
"henning kjaer","Scandinavian"
"koji ishimori","Japan"
"alessandro zoppo","Italian"
"srinath chandrashekhar","India"
"weihua lu","China"
"alexander berdnikov","Slavic"
"elena kornienko","Slavic"
"ludovic naudot","French"
"lionel symoen","French"
"vyacheslav korobko","Slavic"
"evgueni georgievich poliakov","Slavic"
"xin chang","China"
"lionel babadjian","French"
"nicolas chapuis","French"
"larry loyd","AngloSaxon"
"jean sebastien holl","French"
"wang xu","China"
"kyeong ji park","Korea"
"gong qing yang","China"
"pierre mermoud","French"
"chih tin lin","China"
"ugo brusa","Italian"
"ashok yadav","India"
"minoru tokumoto","Japan"
"michael harrigan","AngloSaxon"
"stephane rochet","French"
"sung hyuk song","Korea"
"sajith kizhakke kalathil achuthan kutty","India"
"wie han pan","SouthEastAsia"
"hong yan tao","SouthEastAsia"
"pal francis hansen","Scandinavian"
"haifei zhang","China"
"edward pineda","Philippines"
"audrey morrison","AngloSaxon"
"olivier briot","French"
"egil dammen","Scandinavian"
"andrey faritovich ibragimov","Slavic"
"patty tate","AngloSaxon"
"arpad grein","German"
"dai takahashi","Japan"
"rafael soares de oliveira","Hispanic"
"raffaello mazzanti","Italian"
"bernd klinge","German"
"christel thonier","French"
"pietro marri","Italian"
"dong sub song","SouthEastAsia"
"laurent gauche","French"
"bin luh cheng","China"
"un pyoe hong","Korea"
"per heden","Scandinavian"
"juan rubio najera","Hispanic"
"igor cerqueira oliveira","Hispanic"
"samuel soto santos","Hispanic"
"michael summerlin","AngloSaxon"
"mitsuru  mazda motor corp nagaoka","Hispanic"
"scott stotelmyer","AngloSaxon"
"johanna dalborg","Scandinavian"
"susan crayne","AngloSaxon"
"gregory farin hayworth","AngloSaxon"
"claude dauphin","French"
"christopher neil swindle","AngloSaxon"
"guoqing wu","China"
"lelio luzzi","Italian"
"alois piskala","German"
"bani sarang","India"
"yuchuan su","China"
"james counaghton allen","AngloSaxon"
"bobby barnette","AngloSaxon"
"wyatt fuller","AngloSaxon"
"cesario dos santos","Hispanic"
"donald fetterman","AngloSaxon"
"hua zhang yu","China"
"piroska major","AngloSaxon"
"jaejoon heo","Korea"
"hyun yang shin","Korea"
"vellore krishnamurthy vijayalakshmi","India"
"rodrigo obando","Hispanic"
"kim warrick","AngloSaxon"
"mikel arizmendi zurutuza","Hispanic"
"stuart anderson cox","AngloSaxon"
"jean kopp","French"
"chenggang hu","China"
"ratna chatterjee","India"
"sergei alexandrov","Slavic"
"ruy altafim","Hispanic"
"fernando ardanuy","Hispanic"
"rene gaubert","French"
"pascal genest","French"
"gabriele petrangeli","Italian"
"darrell roelofs","AngloSaxon"
"artem madatov","Slavic"
"gary frederick","AngloSaxon"
"inigo calderon uriszar aldaca","Philippines"
"fabrice chauvet","French"
" dolan","AngloSaxon"
"zsuzesanna vida","Hispanic"
"suck haong park","Korea"
"sebastian thompson","AngloSaxon"
"ulf pahnke","German"
"sebastien boucraut","French"
"pter krajcsi","EastEurope"
"rene cranston","AngloSaxon"
"bernard cipolla","French"
"michael altamura","Italian"
"felix horber","German"
"daniel ojer perea","Hispanic"
"jamie pocas","AngloSaxon"
"hans heinimann","German"
"bipin malhan","India"
"mauricio ladeira casado","Hispanic"
"filip prokop","EastEurope"
"jose maria delgado garcia","Hispanic"
"na young chu","SouthEastAsia"
"tsutomu ariyoshi","Japan"
"sebastian roehrer","German"
"crystal leigh kendrick","AngloSaxon"
"jussi haemaelaeinen","Scandinavian"
"giorgio palma","Italian"
"pavel mistrik","EastEurope"
"daniel lincoln beckles","AngloSaxon"
"jingqiang fan","China"
"gregory schlottmann","German"
"pavan atluri","India"
"yoshihiro konishiroku photo ind co ltd haga","Japan"
"tero tolonen","Scandinavian"
"pedro maria zubizarreta iregui","Hispanic"
"daniel jourdain","French"
"patricia fialho","Hispanic"
"mikhail sergeevich pikalov","Slavic"
"giorgio canil","Italian"
"larry womble","AngloSaxon"
"henrique jorge sousa sales","Hispanic"
"beom cheol shin","Korea"
"federico taroni","Italian"
"valentina corvaglia","Italian"
"sandip chikhalikar","India"
"kyu jeung ahn","SouthEastAsia"
"jasmine singh","India"
"greg alan cox","AngloSaxon"
"joan orriols","Hispanic"
"jeffery vinyard","AngloSaxon"
"jurgen heinze","German"
"thirunavukkarasu ramalingam","India"
"bertil valdemar hansen","Scandinavian"
"deborah culp","AngloSaxon"
"amol ashokrao deshmukh","India"
"chad graham","AngloSaxon"
"shi kit chan","China"
"anwar azer","Africa"
"colin mcardell","AngloSaxon"
"george burkett jr","Africa"
"rajeex ashok modi","India"
"henry sprague","AngloSaxon"
"sa yoon oh","Korea"
"horst willner","German"
"anthony wakeman","AngloSaxon"
"esteban gabazza","Hispanic"
"michel theveniault","French"
"gian gervasi","Italian"
"martin stanczyk","AngloSaxon"
"jonas lindberg","Scandinavian"
"dongryul park","Korea"
"anson mah","China"
"lars peter franzen","Scandinavian"
"alejandra mazo fernandez","Hispanic"
"gordon brummer","AngloSaxon"
"derek justin goldberg","AngloSaxon"
"dietmar turnau","German"
"spyridon blanas","Greek"
"hans hartan","German"
"leon sosnowski","German"
"yonghuan chen","China"
"wendell davis","AngloSaxon"
"domenico tim brasil puntillo","Italian"
"javier valle echebarria","Hispanic"
"justin paul mudd","AngloSaxon"
"andrew putilin","AngloSaxon"
"hyoung tae yoon","Korea"
"roger thomas howe","AngloSaxon"
"jin hyuk   jeongdeun hanjin apt choi","Korea"
"lynwood adams","AngloSaxon"
"nuno alexandre lousa pereira","Hispanic"
"suk jae kim","Korea"
"david john plester","AngloSaxon"
"stephane fourmy","French"
"arnold gurr","AngloSaxon"
"maria ilaria pistelli","Hispanic"
"manali rajeshirke","India"
"naotaka morita","Japan"
"martin schleussner","German"
"juan plana duran","Hispanic"
"karine gaillard","French"
"visali mushunuri","India"
"raizo tamura","Japan"
"nicolas marmier","French"
"dushyant goyal","India"
"kip connors","AngloSaxon"
"shinji nagayama","Japan"
"nan dai","SouthEastAsia"
"philippe beliard","French"
"arden baldwin","AngloSaxon"
"mikel lasa palacios","Hispanic"
"evgeny motorny","Slavic"
"sam ziff","AngloSaxon"
"peter muir","AngloSaxon"
"stefano mantovani","Italian"
"dong wook choi","Korea"
"leonardo montini","Hispanic"
"heinz herbert mller","German"
